May  3 00:35:14 shoichi newsyslog[8284]: logfile turned over
Fri May  3 01:31:10.053 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 01:31:10.053 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 01:31:10.514 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 01:31:10.854 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 01:31:55.568 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 01:31:55.568 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 01:31:55.568 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.6
Fri May  3 01:31:55.568 <kernel> wl0: setup_keepalive: Local port: 49174, Remote port: 5223
Fri May  3 01:31:55.568 <kernel> wl0: setup_keepalive: Seq: 1913657740, Ack: 2509495294, Win size: 2048
Fri May  3 01:31:55.568 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 01:31:55.568 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 01:31:55.568 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 01:31:55.568 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:d1ae:5a7a:9d1c:af88
Fri May  3 01:31:55.568 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 01:31:55.568 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 01:34:45.044 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 01:34:45.044 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 01:34:45.044 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1913657740, Ack: 2509495294, Win size: 2048
Fri May  3 01:34:45.044 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1913657740, Ack 2509495294, Win size 720
Fri May  3 01:34:45.044 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 01:34:45.044 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 01:34:45.044 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 01:34:45.503 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 01:35:30.555 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 01:35:30.555 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 01:35:30.555 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.6
Fri May  3 01:35:30.555 <kernel> wl0: setup_keepalive: Local port: 49174, Remote port: 5223
Fri May  3 01:35:30.555 <kernel> wl0: setup_keepalive: Seq: 1913657915, Ack: 2509495347, Win size: 2048
Fri May  3 01:35:30.555 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 01:35:30.555 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 01:35:30.555 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 01:35:30.555 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:d1ae:5a7a:9d1c:af88
Fri May  3 01:35:30.555 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 01:35:30.555 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 01:36:05.039 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 01:36:05.039 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 01:36:05.039 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1913657915, Ack: 2509495347, Win size: 2048
Fri May  3 01:36:05.039 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1913657915, Ack 2509495347, Win size 720
Fri May  3 01:36:05.039 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 01:36:05.039 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 01:36:05.039 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 01:36:05.507 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 01:36:50.555 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 01:36:50.555 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 01:36:50.555 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.6
Fri May  3 01:36:50.555 <kernel> wl0: setup_keepalive: Local port: 49174, Remote port: 5223
Fri May  3 01:36:50.555 <kernel> wl0: setup_keepalive: Seq: 1913658090, Ack: 2509495400, Win size: 2048
Fri May  3 01:36:50.555 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 01:36:50.555 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 01:36:50.555 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 01:36:50.555 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:d1ae:5a7a:9d1c:af88
Fri May  3 01:36:50.555 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 01:36:50.555 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 02:25:45.052 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 02:25:45.052 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 02:25:45.052 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1913658090, Ack: 2509495400, Win size: 2048
Fri May  3 02:25:45.052 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1913658090, Ack 2509495400, Win size 720
Fri May  3 02:25:45.052 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 02:25:45.052 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 02:25:45.052 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 02:25:45.500 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 02:25:45.831 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 02:26:37.713 <kernel> en0: Received EAPOL packet (length = 145)
Fri May  3 02:26:37.713 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 02:26:37.713 <kernel> inputEAPOLFrame: decrypting key data
Fri May  3 02:26:37.713 <kernel> inputEAPOLFrame: Received message 1 of 2
Fri May  3 02:26:37.713 <kernel> installGTK: setting cipher key (flags = 0x0)
Fri May  3 02:26:37.713 <kernel> GTK-RSC:
Fri May  3 02:26:37.713 [00000000] 11 0D 33 00 00 00 
Fri May  3 02:26:37.714 <kernel> GTK:
Fri May  3 02:26:37.714 [00000000] C2 9A D5 06 7F 7F BB 2B 54 04 AD 19 5B 9E 1A B9 
Fri May  3 02:26:37.714 <kernel> installGTK: GTK installed
Fri May  3 02:55:46.173 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 02:55:46.174 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 02:55:46.174 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.6
Fri May  3 02:55:46.174 <kernel> wl0: setup_keepalive: Local port: 49174, Remote port: 5223
Fri May  3 02:55:46.174 <kernel> wl0: setup_keepalive: Seq: 1913658840, Ack: 2509495644, Win size: 2048
Fri May  3 02:55:46.174 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 02:55:46.174 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 02:55:46.174 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 02:55:46.174 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:d1ae:5a7a:9d1c:af88
Fri May  3 02:55:46.174 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 02:55:46.174 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 03:22:46.049 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 03:22:46.049 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 03:22:46.050 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1913658840, Ack: 2509495644, Win size: 2048
Fri May  3 03:22:46.050 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1913658893, Ack 2509495713, Win size 739
Fri May  3 03:22:46.050 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 03:22:46.050 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 03:22:46.050 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 03:22:46.499 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 03:26:16.780 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:26:16.809 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:26:21.193 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:26:21.220 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:26:38.894 <kernel> en0: Received EAPOL packet (length = 145)
Fri May  3 03:26:38.894 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 03:26:38.894 <kernel> inputEAPOLFrame: decrypting key data
Fri May  3 03:26:38.894 <kernel> inputEAPOLFrame: Received message 1 of 2
Fri May  3 03:26:38.894 <kernel> installGTK: setting cipher key (flags = 0x0)
Fri May  3 03:26:38.894 <kernel> GTK-RSC:
Fri May  3 03:26:38.894 [00000000] 21 1A 33 00 00 00 
Fri May  3 03:26:38.894 <kernel> GTK:
Fri May  3 03:26:38.894 [00000000] F6 41 33 00 32 16 7D 81 20 59 07 E5 FD C4 4B 5F 
Fri May  3 03:26:38.894 <kernel> installGTK: GTK installed
Fri May  3 03:52:46.520 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 03:52:46.552 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 03:52:46.552 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.144
Fri May  3 03:52:46.552 <kernel> wl0: setup_keepalive: Local port: 51533, Remote port: 5223
Fri May  3 03:52:46.553 <kernel> wl0: setup_keepalive: Seq: 998108075, Ack: 2650752911, Win size: 2048
Fri May  3 03:52:46.553 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 03:52:46.553 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 03:52:46.553 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 03:52:46.553 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:d1ae:5a7a:9d1c:af88
Fri May  3 03:52:46.553 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 03:52:46.553 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 03:58:42.052 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 03:58:42.052 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 03:58:42.052 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 998108075, Ack: 2650752911, Win size: 2048
Fri May  3 03:58:42.052 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 998108128, Ack 2650752980, Win size 269
Fri May  3 03:58:42.052 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 03:58:42.052 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 03:58:42.052 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 03:58:42.501 <kernel> en0: link down event, informing supplicant.
Fri May  3 03:58:42.562 <kernel> AirPort_BrcmNIC::getSSIDData(): Get failure: APPLE80211_IOC_SSID: 6
Fri May  3 03:58:42.562 <kernel> ARPT: Wake Reason: Wake on Scan offload; Disconnect reason: Deauthentication beacuse sending STA is leaving (or has left) IBSS or ESS
Fri May  3 03:58:42.634 <kernel> ARPT: Wake Reason: Wake on Scan offload; Disconnect reason: Deauthentication beacuse sending STA is leaving (or has left) IBSS or ESS
Fri May  3 03:58:42.634 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 03:58:42.808 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:58:42.808 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:58:42.811 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Fri May  3 03:58:43.543 <kernel> en0: Terminating supplicant.
Fri May  3 03:58:43.543 <kernel> RSNSupplicant: Releasing authenticator for 86:af:ec:57:28:50
Fri May  3 03:58:43.543 <kernel> parseRSNIE: groupCipherType = 5 pairwiseCipherType = 5 authSel = 2
Fri May  3 03:58:43.543 <kernel> initWithInterfaceAndIE: _myMacAddress 18:65:90:d0:5a:99
Fri May  3 03:58:43.543 <kernel> setPMK: PMK SET!
Fri May  3 03:58:43.785 <kernel> Unexpected payload found for message 9, dataLen 0
Fri May  3 03:58:43.795 <kernel> en0: Received EAPOL packet (length = 113)
Fri May  3 03:58:43.795 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 03:58:43.795 <kernel> inputEAPOLFrame: Received message 1 of 4
Fri May  3 03:58:43.795 <kernel> FULL RSN IE FOUND:
Fri May  3 03:58:43.795 [00000000] 30 14 01 00 00 0F AC 04 01 00 00 0F AC 04 01 00 00 0F AC 02 00 00 
Fri May  3 03:58:43.795 <kernel> storeFullRSNIE: getAP_IE_LIST returned 0
Fri May  3 03:58:43.795 <kernel> PMK:
Fri May  3 03:58:43.795 [00000000] E0 FF 05 30 3B A5 D6 F3 7E 16 19 F2 A6 15 E3 1A 69 3C 6B 37 6B 99 82 49 DB AB 7E 0E B2 44 
Fri May  3 03:58:43.795 [0000001E] CB EA 
Fri May  3 03:58:43.795 <kernel> TPTK:
Fri May  3 03:58:43.795 [00000000] 82 54 6D 28 0B 11 CC 07 72 08 B8 43 F0 8B 87 5A FB F0 B2 0C 6B 3E 20 06 76 E0 67 03 B0 6F 
Fri May  3 03:58:43.795 [0000001E] 5B 4F 99 EE 26 96 04 E9 18 26 EB E0 A5 2A C5 F8 13 E0 00 00 00 00 00 00 00 00 00 00 00 00 
Fri May  3 03:58:43.795 [0000003C] 00 00 00 00 
Fri May  3 03:58:43.795 <kernel> KEY MIC:
Fri May  3 03:58:43.795 [00000000] 74 52 B7 9B 99 A9 5C A8 25 72 7F EB 5F 4C F8 D4 
Fri May  3 03:58:43.795 <kernel> process1of4: sending replyPacket 135 bytes
Fri May  3 03:58:43.801 <kernel> en0: Received EAPOL packet (length = 169)
Fri May  3 03:58:43.801 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 03:58:43.801 <kernel> inputEAPOLFrame: decrypting key data
Fri May  3 03:58:43.801 <kernel> inputEAPOLFrame: Received message 3 of 4
Fri May  3 03:58:43.801 <kernel> process3of4: Performing IE check.
Fri May  3 03:58:43.801 <kernel> process3of4: sending replyPacket ( len = 113 ).
Fri May  3 03:58:43.801 <kernel> process3of4: received pairwise GTK
Fri May  3 03:58:43.804 <kernel> PTK Install Timer: Installing PTK
Fri May  3 03:58:43.804 <kernel> PTK:
Fri May  3 03:58:43.804 [00000000] 99 EE 26 96 04 E9 18 26 EB E0 A5 2A C5 F8 13 E0 
Fri May  3 03:58:43.804 <kernel> PTK Install Timer: Installing GTK
Fri May  3 03:58:43.804 <kernel> installGTK: setting cipher key (flags = 0x0)
Fri May  3 03:58:43.804 <kernel> GTK-RSC:
Fri May  3 03:58:43.804 [00000000] 8B 21 33 00 00 00 
Fri May  3 03:58:43.804 <kernel> GTK:
Fri May  3 03:58:43.804 [00000000] F6 41 33 00 32 16 7D 81 20 59 07 E5 FD C4 4B 5F 
Fri May  3 03:58:43.804 <kernel> installGTK: GTK installed
Fri May  3 03:58:43.904 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:58:44.132 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:58:45.575 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Fri May  3 03:58:51.986 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:58:51.997 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:59:02.441 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:59:02.479 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 03:59:27.630 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 03:59:27.630 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 03:59:27.630 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 03:59:27.630 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 03:59:27.630 <kernel> wl0: setup_keepalive: Seq: 2831142849, Ack: 123199931, Win size: 2048
Fri May  3 03:59:27.630 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 03:59:27.630 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 03:59:27.630 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 03:59:27.630 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 03:59:27.630 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 03:59:27.630 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 04:12:42.048 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 04:12:42.048 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 04:12:42.048 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831142849, Ack: 123199931, Win size: 2048
Fri May  3 04:12:42.048 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831142849, Ack 123199931, Win size 250
Fri May  3 04:12:42.048 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 04:12:42.048 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 04:12:42.048 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 04:12:42.509 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 04:13:27.984 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 04:13:27.984 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 04:13:27.984 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 04:13:27.984 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 04:13:27.984 <kernel> wl0: setup_keepalive: Seq: 2831143024, Ack: 123199984, Win size: 2048
Fri May  3 04:13:27.984 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 04:13:27.984 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 04:13:27.984 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 04:13:27.984 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 04:13:27.984 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 04:13:27.984 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 04:14:53.051 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 04:14:53.051 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 04:14:53.102 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831143024, Ack: 123199984, Win size: 2048
Fri May  3 04:14:53.102 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831143024, Ack 123199984, Win size 250
Fri May  3 04:14:53.102 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 04:14:53.102 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 04:14:53.102 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 04:14:53.509 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 04:15:38.744 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 04:15:38.744 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 04:15:38.744 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 04:15:38.744 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 04:15:38.744 <kernel> wl0: setup_keepalive: Seq: 2831143199, Ack: 123200037, Win size: 2048
Fri May  3 04:15:38.744 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 04:15:38.744 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 04:15:38.744 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 04:15:38.744 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 04:15:38.745 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 04:15:38.745 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 04:54:41.259 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 04:54:41.259 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 04:54:41.259 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831143199, Ack: 123200037, Win size: 2048
Fri May  3 04:54:41.259 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831143199, Ack 123200037, Win size 250
Fri May  3 04:54:41.259 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 04:54:41.259 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 04:54:41.259 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 04:54:41.511 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 04:54:41.877 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 05:24:41.680 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 05:24:41.714 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 05:24:41.715 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 05:24:41.715 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 05:24:41.715 <kernel> wl0: setup_keepalive: Seq: 2831145292, Ack: 123200894, Win size: 2048
Fri May  3 05:24:41.715 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 05:24:41.715 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
